,Name,Email,Address,Postal Code,Product Ordered,Order ID,Order Date,Units Ordered,Fulfillment Days,Delivery Delay Days,Return Status
138,Keith Martin,staffordjordan@example.org,"48723 Karen Trail Suite 141
Lake Jessica, TN 46829",80878,SKU-ACC-005-M,ORD-953,2025-06-22,2,13.0,1.0,0
139,Laura Frederick,vortiz@example.net,"17647 Hamilton Shoals Suite 132
Nicoleton, WY 04821",96726,SKU-TOP-014-L,ORD-991,2025-06-13,1,10.0,7.0,0
140,Jacob Nelson,tanya60@example.com,"PSC 5186, Box 2962
APO AA 35520",35288,SKU-BTM-016-S,ORD-334,2025-06-11,4,19.0,,0
141,John Jones,agarcia@example.org,"8931 Hunt Rest Suite 672
Veronicaton, MP 85595",86881,SKU-ONP-002-L,ORD-251,2025-06-18,4,1.0,-1.0,1
142,Pamela Davis,hpena@example.net,"367 Leslie Union
Gordonville, MP 27314",12069,SKU-ONP-011-S,ORD-880,2025-06-03,5,20.0,0.0,1
143,Lisa Martin PhD,morgan88@example.org,"74156 Porter Plain Suite 591
Bellton, PR 24522",53171,SKU-ACC-010-S,ORD-820,2025-06-03,1,1.0,-2.0,1
144,Preston Sanchez,flemingsarah@example.net,"79831 Kathy Prairie Suite 594
New Danielleborough, PW 40151",02521,SKU-ONP-002-L,ORD-934,2025-06-23,1,60.0,-4.0,1
145,Heather Johnson,brownmartin@example.org,"23649 Morgan Inlet Suite 143
Seanchester, AZ 52401",63812,SKU-ONP-002-M,ORD-350,2025-06-15,2,13.0,0.0,1
146,Lucas Smith,karen40@example.org,"0563 Johnson Via Suite 100
Earlfurt, FL 91119",55079,SKU-ACC-013-M,ORD-326,2025-06-19,3,15.0,-3.0,0
147,Chad Brown,jonathanthompson@example.net,"8420 Cisneros Walk
South Saraville, VI 15869",05908,SKU-TOP-012-S,ORD-699,2025-06-26,5,23.0,1.0,0
148,Michael Mason,uyoung@example.net,"USNV Hogan
FPO AA 71211",23425,SKU-TOP-007-M,ORD-539,2025-06-20,3,4.0,0.0,1
149,Anthony Montoya,ehawkins@example.com,"025 Doyle Curve
Port Erinborough, VI 23743",91485,SKU-ONP-009-S,,2025-06-01,4,25.0,,1
150,Christina Bennett MD,walkermichelle@example.net,"1875 Thomas Freeway Apt. 667
Carrollton, FL 35218",42039,SKU-TOP-012-S,ORD-187,2025-06-03,4,3.0,-1.0,0
151,Jack Mason,rodriguezbarry@example.net,"8949 Selena Trail
Christinaside, IL 61878",00817,SKU-TOP-012-L,ORD-917,2025-06-04,4,15.0,4.0,1
152,Angela White,richard61@example.com,"48514 Smith Mall Apt. 592
Stevensonhaven, FL 15200",82181,SKU-TOP-014-L,ORD-316,2025-06-17,1,21.0,0.0,0
153,Mary Rose,michele88@example.net,"0557 Potter Circles Suite 451
Lindsaytown, MS 97561",53691,SKU-ONP-006-M,ORD-731,2025-06-21,5,24.0,0.0,0
154,William Martinez,ptran@example.org,"Unit 1908 Box 8512
DPO AA 89771",01501,SKU-ONP-006-L,ORD-835,2025-06-06,5,23.0,0.0,0
155,Jaclyn Parker,xthompson@example.org,"07171 Martinez Streets Apt. 286
West Roberthaven, PR 04269",41302,SKU-FOT-017-S,ORD-440,2025-06-08,5,11.0,,0
156,Shane Baird,richard87@example.com,"550 Hooper Lane Apt. 930
West Michael, MP 49253",36309,SKU-ACC-015-S,ORD-747,2025-06-10,4,16.0,6.0,0
157,Dana Johnson,catherine89@example.net,"4529 Elizabeth Passage
New Erinborough, CA 07260",55192,SKU-BTM-016-L,ORD-314,2025-06-10,4,15.0,-1.0,1
158,Brian Jacobson,pbrown@example.net,"04797 Garcia Tunnel Apt. 910
North Johnville, PA 59106",01727,SKU-ONP-009-S,ORD-108,2025-06-09,5,6.0,-2.0,0
