,Name,Email,Address,Postal Code,Product Ordered,Order ID,Order Date,Units Ordered,Fulfillment Days,Delivery Delay Days,Return Status,is_missing_Order ID,Bulk Order Flag,is_missing_Fulfillment Days,is_missing_Delivery Delay Days
25,Jonathan Mccoy,nmcclure@example.org,"798 Ricardo Greens Suite 517
Fergusonbury, MO 29506",57646,SKU-ACC-005-L,ORD-058,2025-08-21,2,8.0,4.0,1,0,False,0,0
26,Judy Ward,felicia21@example.org,"640 Sandra Crossing
Schwartzmouth, AZ 93130",93260,SKU-TOP-014-M,ORD-148,2025-08-20,3,22.0,2.0,1,0,False,0,0
27,Scott Pearson,parkerkristin@example.com,"0763 Willie Club
Obrienmouth, IL 30422",45484,SKU-TOP-007-L,ORD-091,2025-08-22,2,13.0,-2.0,1,0,False,0,0
28,Sarah Evans,smithjeremiah@example.net,"40964 David Drive
Joshuafort, MA 11165",39740,SKU-ONP-009-L,ORD-473,2025-08-02,5,12.0,-3.0,1,0,False,0,0
29,Lindsay Kelly,omoran@example.org,"3560 Barry Burg Suite 700
Lake Lynn, NE 89636",78954,SKU-FOT-017-M,ORD-282,2025-08-02,1,25.0,-4.0,0,0,False,0,0
30,Valerie Hall,christopher60@example.net,"869 Regina Expressway
Martinezside, TN 47330",71774,SKU-TOP-007-M,ORD-342,2025-08-05,4,22.0,2.0,1,0,False,0,0
31,Edward Russo,melaniebraun@example.net,"3374 Timothy Cliff
West Meagan, GA 88477",07464,SKU-BTM-016-S,ORD-824,2025-08-15,4,12.0,3.0,0,0,False,0,0
32,Susan Smith,vnixon@example.org,"98105 Harrison Hollow Suite 761
New Kellystad, VT 39070",29297,SKU-BTM-008-L,ORD-488,2025-08-11,5,3.0,-1.0,1,0,False,0,0
33,Christopher Davidson,eaustin@example.com,"4592 James Forge
Santiagoport, CO 41992",86441,SKU-ONP-011-M,ORD-440,2025-08-20,3,30.0,2.0,1,0,False,0,0
34,Danielle Hancock,christianknight@example.net,"29124 Kathryn Glens
New Kristen, VI 16513",62549,SKU-ONP-006-L,ORD-561,2025-08-24,2,25.0,-1.0,1,0,False,0,0
35,Brent Petersen,uhebert@example.com,"PSC 4674, Box 0168
APO AA 18992",65970,SKU-ONP-002-L,ORD-070,2025-08-08,4,15.0,2.0,0,0,False,0,0
36,Matthew Choi,jacquelinepham@example.com,"52384 Ramos Glen Apt. 119
Port Jonathan, SC 57514",43448,SKU-TOP-001-S,ORD-657,2025-08-21,4,2.0,-3.0,0,0,False,0,0
37,Richard Phillips,awright@example.net,"766 Peter Passage Apt. 940
Hallview, KS 70534",88159,SKU-BTM-004-L,ORD-104,2025-08-21,3,22.0,-5.0,1,0,False,0,0
38,Mrs. Tonya Robles,xhoffman@example.org,"0507 Nicholas Plains
Ashleystad, MH 48437",08475,SKU-TOP-007-S,ORD-890,2025-08-28,2,13.0,-8.0,1,0,False,0,0
39,Sarah Johnston,brendamiller@example.net,"4034 Yang Village
Josephport, IA 80806",62290,SKU-BTM-016-M,ORD-393,2025-08-18,2,3.0,4.0,1,0,False,0,0
40,Jonathan Davis,chaseamy@example.org,"66063 Smith Locks
South Brendaport, AL 31158",97833,SKU-TOP-012-S,ORD-914,2025-08-04,3,15.0,2.0,1,0,False,0,0
41,Sandra Porter,brandon21@example.org,"PSC 5715, Box 8701
APO AA 83936",03530,SKU-ACC-013-L,ORD-663,2025-08-23,3,21.0,-3.0,1,0,False,0,0
42,Michael Oneill,mitchell33@example.com,"Unit 2612 Box 8628
DPO AA 85009",11356,SKU-BTM-016-L,ORD-970,2025-08-09,1,23.0,2.0,1,0,False,0,0
43,Emily Bennett,sduncan@example.com,"Unit 9719 Box 9390
DPO AE 10506",38591,SKU-ONP-011-M,ORD-908,2025-08-24,4,19.0,-2.0,1,0,False,0,0
44,Christopher Manning,diazwesley@example.com,"16733 Dominguez Motorway Suite 035
Reedchester, IA 10871",44981,SKU-ONP-002-S,ORD-447,2025-08-24,4,6.0,-1.0,1,0,False,0,0
45,Jonathan Smith,sarah47@example.org,"193 Ashley Village
Boltontown, MT 67654",23341,SKU-ONP-011-L,ORD-464,2025-08-20,3,13.0,0.0,1,0,False,0,0
46,David Hancock,wagnervincent@example.net,"7597 Gregory Mount
Saraberg, NV 81464",21066,SKU-ONP-002-M,ORD-628,2025-08-19,3,12.0,4.0,0,0,False,0,0
47,Rachel Andrews,fcrawford@example.net,"Unit 7043 Box 6330
DPO AE 58867",66879,SKU-TOP-012-L,ORD-359,2025-08-05,5,2.0,-3.0,1,0,False,0,0
48,Jennifer Armstrong,laurie89@example.org,"2175 Scott Plaza
Mcphersonchester, ID 38335",61871,SKU-ONP-009-S,ORD-285,2025-08-04,2,17.0,0.0,0,0,False,0,0
49,Morgan Dorsey,aprilcaldwell@example.com,"21703 Melissa Trace Suite 066
Mcdonaldton, CA 01901",62593,SKU-ACC-005-M,ORD-673,2025-08-02,5,16.0,-6.0,1,0,False,0,0
50,David Lewis,scott91@example.net,"557 Rivera Mountain
Ericksonbury, KS 15188",49550,SKU-ACC-013-S,ORD-048,2025-08-10,2,10.0,-1.0,0,0,False,0,0
51,Joshua Adams,jessica98@example.org,"03257 Ronnie Summit
Carolinechester, LA 68149",87302,SKU-BTM-016-M,ORD-348,2025-08-27,1,13.0,-2.0,1,0,False,0,0
52,Jason Williamson,steinlisa@example.org,"8449 Amanda Squares Suite 971
Kellyport, WV 23127",83566,SKU-BTM-016-M,ORD-906,2025-08-17,5,7.0,-2.0,0,0,False,0,0
53,Robin Ramirez,mmoore@example.com,"367 Erin Springs
Perezland, NJ 37707",87810,SKU-ACC-005-M,ORD-316,2025-08-16,1,2.0,1.0,0,0,False,0,0
54,Louis Young,melissa13@example.org,"1610 Kathy Branch
Oliverstad, OH 24424",74318,SKU-BTM-016-S,ORD-385,2025-08-04,4,2.0,5.0,1,0,False,0,0
55,Lauren Patel,gregoryvazquez@example.org,"939 Richardson Motorway
South Benjamin, MH 96016",53388,SKU-BTM-008-M,ORD-137,2025-08-02,4,3.0,0.0,0,0,False,0,0
56,Sherri Hall,michaelschultz@example.net,"771 Geoffrey Station
Richardsonhaven, MS 82970",67774,SKU-ACC-010-L,ORD-792,2025-08-03,4,24.0,9.0,1,0,False,0,0
57,Donald Johnson,myersbobby@example.com,"85322 Archer Island Apt. 962
North Kennethchester, MD 99745",83043,SKU-ACC-010-L,ORD-544,2025-08-24,2,19.0,0.0,1,0,False,0,1
58,Kristina Lyons,cynthia78@example.com,"917 Johnston Extension Suite 986
Loriside, OH 56805",98273,SKU-ONP-011-S,ORD-699,2025-08-13,3,20.0,1.0,0,0,False,0,0
59,Brittany Sims,dawnvalentine@example.com,"348 Jackson Underpass
South Justinton, KY 43432",47397,SKU-TOP-001-S,ORD-515,2025-08-26,5,25.0,1.0,1,0,False,0,0
60,Kelsey Holden,deanemma@example.net,"PSC 9030, Box 3936
APO AA 40182",36717,SKU-TOP-012-S,ORD-025,2025-08-18,3,1.0,-2.0,0,0,False,0,0
61,William Klein,rachel77@example.com,"014 Mcfarland Keys
Lake Troy, NC 13799",28825,SKU-FOT-017-M,ORD-877,2025-08-13,5,15.0,-2.0,0,0,False,0,0
62,Vanessa Simmons,marygraham@example.net,"3494 Judith Centers Apt. 602
North Christopherport, AK 86843",44837,SKU-ACC-013-M,ORD-979,2025-08-05,5,19.0,1.0,1,0,False,0,0
63,Deborah Rose,desireebeltran@example.org,"229 Reed Lodge Suite 966
Debbiestad, AK 55268",63993,SKU-FOT-017-M,ORD-427,2025-08-25,3,14.0,-5.0,1,0,False,0,0
64,Carmen Cherry,yterry@example.com,"494 Mcneil Manors Suite 350
Moorefort, OK 95787",32456,SKU-ONP-003-S,ORD-786,2025-08-30,4,5.0,3.0,0,0,False,0,0
65,James Garcia,leeemily@example.com,"PSC 8370, Box 7877
APO AE 05648",53830,SKU-ACC-015-M,ORD-333,2025-08-09,3,1.0,-2.0,1,0,False,0,0
66,Loretta Lang,garzachristopher@example.com,"84228 Kenneth Turnpike
Lindseyview, ME 31258",11053,SKU-ACC-010-M,ORD-612,2025-08-27,1,4.0,0.0,1,0,False,0,0
67,Dean Roth,amberpatel@example.net,"48495 Alexandra Walk Suite 978
East Tracyport, GU 07573",10370,SKU-ACC-005-L,ORD-812,2025-08-20,5,2.0,-1.0,0,0,False,0,0
68,Michael Mcintyre,angela29@example.org,"7330 Wolfe Bypass Suite 246
Karenmouth, IL 26280",39048,SKU-FOT-017-M,ORD-806,2025-08-25,5,23.0,1.0,1,0,False,0,0
69,Jo Rocha,levinetrevor@example.org,"774 Patricia Club Apt. 865
Christopherstad, MN 36724",96647,SKU-TOP-007-L,ORD-471,2025-08-02,5,13.0,7.0,1,0,False,0,0
70,Dr. James Adams,freyroy@example.org,"619 Wilkins Forges
Port Abigail, MT 45701",30655,SKU-ACC-005-M,ORD-800,2025-08-23,4,16.0,-4.0,0,0,False,0,0
71,Darren Smith,susanlopez@example.com,"1297 Vega Corners
Janicebury, TX 48284",25155,SKU-TOP-014-L,ORD-310,2025-08-19,5,17.0,0.0,1,0,False,0,0
72,John Henry,kruegerdiane@example.org,"489 Grant Crest Apt. 109
East Alan, IL 47812",78384,SKU-TOP-001-L,ORD-798,2025-08-02,2,17.0,0.0,0,0,False,0,0
73,Veronica Suarez,ojones@example.com,"411 James Springs
Gallowaymouth, KY 58587",88307,SKU-ACC-013-M,ORD-913,2025-08-02,3,23.0,-4.0,0,0,False,0,0
74,Dawn Scott,shannongreen@example.com,"978 Lucas Cove
Mollyborough, HI 57518",25047,SKU-TOP-007-L,ORD-688,2025-08-24,3,22.0,3.0,1,0,False,0,0
75,Kelsey Richards,coreyfarrell@example.org,"03251 Perry Plaza
New Sandra, NJ 07669",44778,SKU-BTM-004-M,ORD-939,2025-08-12,2,6.0,0.0,0,0,False,0,1
76,Brandon Parks,alexanderchristina@example.com,"81560 Jones Gateway
South Shawnberg, MN 06135",38574,SKU-ONP-006-S,ORD-213,2025-08-19,3,24.0,-8.0,1,0,False,0,0
77,Richard Sampson,chase35@example.net,"06779 Potter Burgs
North Janice, WI 48116",04633,SKU-ACC-005-S,ORD-458,2025-08-20,1,25.0,1.0,0,0,False,0,0
78,Keith Owens,perezdouglas@example.net,"323 Dawson Parkways Suite 089
Spencerfort, LA 88820",75952,SKU-ONP-003-L,ORD-919,2025-08-20,3,1.0,-2.0,1,0,False,0,0
79,Lisa Todd,davisglen@example.net,"46765 Ross Springs Apt. 951
Fordport, KY 58518",98649,SKU-BTM-016-L,ORD-723,2025-08-04,5,10.0,1.0,1,0,False,0,0
80,Shannon Wilcox,fhopkins@example.org,"195 Lopez Fort
Port James, VI 66756",05705,SKU-BTM-016-S,ORD-340,2025-08-03,4,20.0,-2.0,1,0,False,0,0
81,Paul Lang,devonjimenez@example.org,"58578 Nathaniel Flat
Tylertown, IN 95945",23666,SKU-ONP-002-L,ORD-025,2025-08-14,3,11.0,-1.0,1,0,False,0,0
82,Savannah Cherry,thomasshaw@example.com,"18860 Cook Square
East Kimberlyfort, IL 72011",13604,SKU-ACC-010-S,ORD-689,2025-08-09,3,1.0,-3.0,0,0,False,0,0
83,Rhonda Zavala Md,ivanreyes@example.org,"3504 Jose Mission
North Robertland, IN 32847",38714,SKU-TOP-007-S,ORD-255,2025-08-01,3,14.0,-1.0,0,0,False,1,0
84,Justin Garcia,cmckinney@example.org,"0421 Deborah Freeway Suite 534
Port Nataliemouth, VA 20967",50843,SKU-ONP-006-L,ORD-445,2025-08-14,1,10.0,0.0,0,0,False,0,0
85,Stephanie Garcia,robersonjennifer@example.com,"3870 Kenneth Village
Williamsburgh, TN 84090",09116,SKU-ONP-002-S,ORD-784,2025-08-09,3,14.0,-2.0,0,0,False,0,0
86,Richard Thomas,paulmartinez@example.net,"041 Pena Rapids
South Bernard, DE 23030",61373,SKU-ACC-010-M,ORD-518,2025-08-16,3,3.0,3.0,0,0,False,0,0
87,Julie Dyer,davidking@example.com,"Unit 6080 Box 1805
DPO AE 59776",35663,SKU-BTM-008-L,ORD-241,2025-08-30,4,21.0,1.0,1,0,False,0,0
88,Grace White,millerjacob@example.com,"08421 Snyder Loop Apt. 556
East Robert, KS 29919",32431,SKU-TOP-012-S,ORD-574,2025-08-14,5,22.0,3.0,1,0,False,0,0
89,Michelle Mcintyre,jaredcastillo@example.org,"83007 Misty Crossing
Port Brianview, VA 10906",12288,SKU-BTM-016-M,ORD-380,2025-08-19,4,23.0,2.0,1,0,False,0,0
90,William Collins,yzimmerman@example.net,"6470 Susan Parks Suite 534
Samueltown, SD 63708",41113,SKU-ONP-002-M,ORD-026,2025-08-12,1,11.0,5.0,1,0,False,0,0
91,William Schmidt,robert30@example.com,"USS Hoffman
FPO AE 10259",01703,SKU-ONP-002-S,ORD-284,2025-08-13,4,16.0,-7.0,1,0,False,0,0
92,Kenneth Martinez,jennifer15@example.com,"92582 Ross Vista Apt. 535
Welchmouth, DE 98738",41076,SKU-ACC-005-L,ORD-239,2025-08-02,3,2.0,-2.0,1,0,False,0,0
93,David Jackson,sanchezkimberly@example.com,"0232 Gonzalez Track Suite 900
East Jeanette, KY 99648",61443,SKU-TOP-007-S,ORD-401,2025-08-08,2,4.0,-3.0,0,0,False,0,0
94,Deborah Richardson,anthonyfreeman@example.org,"USCGC Pham
FPO AP 04573",72237,SKU-BTM-008-S,ORD-194,2025-08-20,3,21.0,0.0,0,0,False,0,0
95,Bonnie Smith,brownmeagan@example.com,"6266 Burgess Pines
Alisonmouth, OK 97223",89671,SKU-ACC-005-S,ORD-114,2025-08-21,1,2.0,1.0,1,0,False,0,0
96,Megan Brown,ebarker@example.org,"369 Kathryn Squares Suite 262
Erinview, LA 28685",09798,SKU-TOP-001-L,ORD-759,2025-08-20,4,23.0,-2.0,0,0,False,0,0
97,Sheryl James Dds,lori70@example.com,"754 Johnson Stream Apt. 623
Michaelborough, IA 37988",12943,SKU-ACC-013-L,ORD-747,2025-08-14,2,25.0,0.0,0,0,False,0,0
98,Charles Smith,dwilson@example.org,"92238 Petersen Forest Suite 143
Andrewbury, OR 06423",54644,SKU-BTM-008-S,ORD-797,2025-08-14,4,1.0,-3.0,1,0,False,0,0
99,Joan Salazar,charles69@example.com,"742 Parker Island Apt. 951
Port Katiehaven, NV 77905",55612,SKU-ONP-003-S,ORD-341,2025-08-04,4,23.0,4.0,1,0,False,0,0
100,Zachary Brooks,brenda96@example.com,"68956 Chambers Vista Suite 788
New Brian, CA 20289",66223,SKU-TOP-012-M,ORD-409,2025-08-17,5,9.0,-5.0,0,0,False,0,0
101,Jeffery Morales Md,rhodesmary@example.org,"045 Justin Glens Suite 416
East Jeremyshire, FM 60433",51272,SKU-ACC-013-M,ORD-876,2025-08-05,1,23.0,-2.0,1,0,False,0,0
102,Pamela Griffin Md,mooreshawn@example.net,"345 Angela Vista
East Kevin, AK 18174",47201,SKU-TOP-001-S,ORD-816,2025-08-06,4,30.0,4.0,0,0,False,0,0
103,Jennifer Werner,lori42@example.net,"6904 Erin Lodge
Ramirezport, IL 54231",97442,SKU-TOP-007-L,ORD-003,2025-08-26,3,11.0,0.0,0,0,False,0,0
104,Timothy Alvarez,james89@example.com,"73462 Allison Estate
Bonillaberg, SC 98952",42914,SKU-TOP-007-M,ORD-034,2025-08-17,4,8.0,3.0,1,0,False,0,0
105,Amanda Mathis,allisonlucero@example.net,"7271 Best Station
Nicholasmouth, NM 37655",76951,SKU-TOP-007-S,ORD-088,2025-08-28,5,30.0,3.0,0,0,False,0,0
106,Penny Wallace,campbellconnie@example.net,"877 Hall Route Apt. 144
Richardhaven, MA 51362",73958,SKU-ONP-011-S,ORD-221,2025-08-17,5,17.0,3.0,0,0,False,0,0
107,Katie Walker,frogers@example.net,"9251 Miller Isle
South Erin, WV 17061",09428,SKU-TOP-014-L,ORD-244,2025-08-12,5,10.0,2.0,0,0,False,0,0
108,William Kennedy,barbara13@example.org,"7034 Anita Isle Apt. 840
Port Philip, MA 71457",16238,SKU-TOP-012-L,ORD-273,2025-08-19,2,25.0,-1.0,0,0,False,0,0
109,Robert Moore,gonzalezrachel@example.com,"712 Shah Fort Apt. 289
Alexanderside, AR 29645",29698,SKU-BTM-008-L,ORD-957,2025-08-09,2,20.0,6.0,1,0,False,0,0
110,Ronald Green,ericaustin@example.com,"6478 Martin Mews Suite 474
Port Danafurt, MD 31749",15944,SKU-ONP-002-M,ORD-463,2025-08-06,4,16.0,-1.0,0,0,False,0,0
111,Stephen Lewis,dsmith@example.com,"95254 Patrick Mountains Suite 434
Lake Andres, DE 17173",99314,SKU-ONP-009-S,ORD-297,2025-08-22,5,1.0,0.0,0,0,False,0,0
112,Jon Davis,elizabeth05@example.com,"32496 Kayla Islands Suite 090
Johnland, GU 10205",46882,SKU-ACC-010-S,ORD-515,2025-08-02,4,14.0,-1.0,1,0,False,0,0
113,Mrs. Jessica King Dvm,chase53@example.org,"28266 Joseph Radial Suite 084
New Taylorchester, MI 22116",67354,SKU-TOP-007-L,ORD-358,2025-08-19,5,6.0,2.0,1,0,False,0,0
114,Gregg Smith,mary43@example.com,"7082 Burton Corner Apt. 113
Taylorborough, KS 07820",65082,SKU-ACC-015-M,ORD-468,2025-08-21,2,5.0,-4.0,1,0,False,0,0
115,Holly Smith,morseshawn@example.net,"09037 Steve Avenue
South Walter, WI 55339",53443,SKU-ACC-015-M,None,2025-08-28,5,16.0,2.0,1,1,False,0,0
116,Jason George,tpeterson@example.net,"34766 Murray Turnpike
Jeremyhaven, WA 43113",77386,SKU-ACC-010-S,ORD-035,2025-08-30,4,9.0,3.0,1,0,False,0,0
117,Michael Fernandez,johnsonjennifer@example.net,"667 Mcintyre Light Apt. 835
Alexanderberg, MS 32481",29379,SKU-ACC-015-L,ORD-871,2025-08-11,4,30.0,-4.0,0,0,False,0,0
118,Stephanie Soto,drew75@example.org,"25678 Schroeder Shoal Suite 323
South David, LA 47180",16576,SKU-TOP-001-S,None,2025-08-30,3,18.0,1.0,0,1,False,0,0
119,Amber Gonzalez,fullerkristen@example.org,"898 Amanda Ranch
Victoriastad, AK 99779",31081,SKU-TOP-001-L,ORD-290,2025-08-30,1,5.0,-6.0,1,0,False,0,0
120,Dr. Benjamin Bell,kelseyfrey@example.net,"82192 Jennifer Corners
Jonesside, CO 86799",38464,SKU-TOP-001-L,ORD-060,2025-08-08,3,10.0,3.0,0,0,False,0,0
121,Jennifer Conner,mgriffin@example.org,"55833 Osborne Walks
Cruzberg, WA 34849",42746,SKU-TOP-001-L,ORD-548,2025-08-10,5,24.0,-3.0,1,0,False,0,0
122,Cassie Howard,andrew37@example.com,"95573 Lorraine Rapid Apt. 843
West Stevenland, CT 54791",24287,SKU-ONP-011-M,ORD-793,2025-08-21,3,8.0,-3.0,0,0,False,0,0
123,Jeffrey Barnes,garyflores@example.org,"5485 Jill Locks
New Scottstad, PR 05099",94714,SKU-ONP-003-L,ORD-730,2025-08-21,3,25.0,-3.0,1,0,False,0,0
124,Adam Marshall,ygibson@example.net,"827 Haney Court
Justinport, KY 64161",88715,SKU-ONP-011-L,ORD-325,2025-08-04,1,14.0,1.0,0,0,False,0,0
125,Andrew Scott,wcastaneda@example.org,"Unit 0810 Box 2280
DPO AE 84859",78486,SKU-FOT-017-S,ORD-845,2025-08-29,4,12.0,8.0,0,0,False,0,0
126,Chad Crosby,melissa10@example.com,"537 Natasha Port Apt. 538
Nicholsfort, FM 88068",26535,SKU-BTM-008-S,ORD-458,2025-08-03,1,16.0,2.0,1,0,False,0,0
127,Jennifer Hunter,michellegaines@example.net,"6579 Charles Pine
East Matthew, NY 41317",49933,SKU-TOP-007-L,ORD-811,2025-08-25,5,17.0,-2.0,1,0,False,0,0
128,Stephanie Eaton,william42@example.org,"942 William Path Apt. 859
Port Robertchester, AL 85171",06140,SKU-TOP-014-S,ORD-946,2025-08-07,3,9.0,6.0,0,0,False,0,0
129,Brian Padilla,karinatanner@example.com,"966 Brett Cape Suite 928
Jamesshire, VT 38814",56214,SKU-TOP-007-M,ORD-268,2025-08-10,3,12.0,-2.0,0,0,False,0,0
130,Charles Grant,thompsonjorge@example.com,"PSC 7384, Box 3651
APO AA 71037",48233,SKU-BTM-008-S,ORD-816,2025-08-08,5,10.0,-5.0,1,0,False,0,0
131,Richard Bryant,qmoore@example.net,"33027 Gillespie Square Apt. 252
East Suzanne, MI 53457",32750,SKU-BTM-004-S,ORD-591,2025-08-17,1,25.0,-2.0,1,0,False,0,0
132,Travis Hayes,amandacohen@example.com,"621 Joel Island Suite 148
East Kyleburgh, MP 14548",47251,SKU-TOP-001-L,ORD-515,2025-08-21,1,14.0,2.0,0,0,False,0,0
133,Isaac Delacruz,hendrixkim@example.com,"20669 Bobby Causeway
Maryshire, MS 97070",71306,SKU-TOP-014-M,ORD-645,2025-08-12,4,11.0,0.0,1,0,False,0,0
134,Becky Vaughan,colesara@example.com,"62361 Gutierrez Spurs
North Brian, HI 66132",67206,SKU-BTM-008-S,ORD-977,2025-08-27,1,2.0,0.0,1,0,False,0,0
135,Diana Wilcox,chambersjennifer@example.org,"00989 Jenkins Flats Apt. 192
Stephanieberg, HI 10452",03403,SKU-ACC-010-L,ORD-124,2025-08-01,4,2.0,1.0,0,0,False,0,0
136,Jordan Edwards,carpenterjerome@example.org,"45834 Jason Harbor Apt. 987
Port Lawrence, MI 01514",75363,SKU-ONP-011-S,ORD-247,2025-08-16,3,20.0,0.0,1,0,False,0,0
137,Robert Arias,skirk@example.org,"3982 David Freeway Apt. 469
Ramirezmouth, PW 75549",26898,SKU-ONP-009-S,ORD-715,2025-08-28,1,22.0,-1.0,0,0,False,0,0
138,Eugene Lyons,vanessaanderson@example.net,"4664 James Skyway Apt. 823
Jonesview, LA 64555",50159,SKU-TOP-007-S,ORD-261,2025-08-09,3,21.0,-2.0,0,0,False,0,0
139,Ronald Bautista,cordovatina@example.com,"93465 Jake Summit Apt. 856
Christianbury, TN 95811",14231,SKU-TOP-001-L,ORD-224,2025-08-11,3,11.0,3.0,0,0,False,0,0
140,Nancy Cunningham,erin21@example.net,"USCGC Flynn
FPO AA 30525",65361,SKU-ONP-003-L,ORD-095,2025-08-08,3,19.0,1.0,0,0,False,0,0
141,Thomas Myers,ricardo82@example.net,"1686 Jane Point
Lake Kristenhaven, ID 06390",92821,SKU-FOT-017-S,ORD-226,2025-08-28,2,15.0,2.0,0,0,False,0,0
142,Clifford Fields,lunamichael@example.net,"9865 Shannon Port
North Spencer, RI 07193",52017,SKU-TOP-001-L,ORD-613,2025-08-18,2,21.0,-3.0,1,0,False,0,0
143,Jeremy Parker,thomas39@example.com,"889 Sanders Flats Apt. 631
Gravesfurt, NH 05885",73715,SKU-ONP-006-S,ORD-398,2025-08-02,3,10.0,8.0,0,0,False,0,0
